Name,Current price,Change(%),Open,High,Low,Volume
SPHERE 3D CORP.,1.2,16.98,1.28,1.33,1.18,810097
PHILLIPS EDISON & CO.,39.43,0.23,39.14,39.58,39.01,808163
GREEN PLAINS INC.,10.67,14.82,11.2,11.24,10.52,807462
VINFAST AUTO,3.95,0.51,4.09,4.09,3.89,807146
CARGURUS INC.,36.46,1.76,35.67,36.5,35.37,806188
EHANG HOLDINGS LTD.,14.64,14.0,15.09,15.16,14.57,804333
AZENTA INC.,45.76,0.39,45.25,46.41,44.97,802511
GCM GROSVENOR INC.,12.45,0.81,12.32,12.46,12.19,802417
ORASURE TECHNOLOGIES INC.,3.83,12.54,3.93,3.96,3.83,797786
BLUE HAT INTERACTIVE ENTERTAINMENT TECH,0.145,0.69,0.1322,0.15,0.1322,792714
BICYCLE THERAPEUTICS PLC ADS,20.4,2.26,20.28,21.23,19.9,790946
CRITEO S.A. ADS,41.57,3.87,40.0,41.59,39.62,790891
ROCKWELL MEDICAL INC.,2.25,12.6,2.26,2.3,2.18,789046
CORCEPT THERAPEUTICS INC.,58.58,10.76,59.02,59.02,57.3,788867
TRACTOR SUPPLY CO.,280.19,12.03,284.82,287.04,279.95,787583
IROBOT CORP.,7.15,14.03,7.36,7.4,7.11,784722
ZAI LAB LTD.,27.55,11.92,28.0,28.27,26.71,783073
ONDAS HOLDINGS INC.,0.835,13.36,0.89,0.915,0.82,782336
VERASTEM INC.,4.05,3.58,3.92,4.24,3.92,781599
REGENERON PHARMACEUTICALS INC.,753.03,0.47,743.19,754.18,736.5,780023
NEWMARK GROUP INC.,15.63,0.71,15.41,15.64,15.34,775108
SIGA TECHNOLOGIES INC.,7.03,13.83,7.4,7.4,6.93,774126
FOSSIL GROUP INC.,1.42,10.08,1.28,1.42,1.24,773363
BIONTECH SE ADS,118.54,11.84,119.73,121.8,117.0,771453
BLACKLINE INC.,63.07,0.48,62.07,63.5,61.8,771365
AEHR TEST SYSTEMS,11.9,16.08,12.59,12.6,11.77,771337
FULTON FINANCIAL,21.69,11.36,21.84,22.01,21.67,770292
NEXALIN TECHNOLOGY INC.,3.85,11.28,3.93,4.22,3.72,769177
ONCTERNAL THERAPEUTICS INC.,0.75,5.63,0.72,0.8,0.71,769136
GEOVAX LABS INC.,2.7,110.3,2.96,3.01,2.68,768163
SYNOPSYS INC.,553.95,11.41,562.65,562.81,549.58,767734
NEWEGG COMMERCE INC.,0.6018,11.02,0.6084,0.64,0.5852,765279
VIOMI TECHNOLOGY CO. LTD ADS,1.5,7.91,1.37,1.53,1.37,764736
REVOLUTION MEDICINES INC.,58.63,1.97,58.21,59.72,57.05,764458
RACKSPACE TECHNOLOGY INC.,2.64,11.49,2.66,2.73,2.6,763676
GIGACLOUD TECHNOLOGY INC,24.73,12.98,25.25,25.48,24.62,763289
FORTREA HOLDINGS INC.,20.69,10.96,20.49,20.8,19.99,760688
MACOM TECHNOLOGY SOLUTIONS HLD.,134.64,10.54,137.47,137.47,132.86,760671
DRAGANFLY INC.,2.66,113.36,3.42,3.66,2.51,760648
STERLING INFRASTRUCTURE INC.,199.03,1.38,194.5,203.49,191.26,759800
JAMF HOLDING CORP.,14.39,13.29,14.8,14.8,14.36,759515
BTCS INC.,3.38,10.59,3.2,3.64,3.2,759329
NEUROCRINE BIOSCIENCES INC.,127.91,0.63,127.15,128.14,124.23,757857
LIGHTWAVE LOGIC INC.,2.72,13.55,2.79,2.89,2.71,757784
SPORTSMAN S WAREHOUSE HLD.,1.86,17.46,2.01,2.02,1.86,756436
PTC INC.,199.26,10.66,200.49,200.68,198.46,755974
FTAI AVIATION LTD.,171.96,2.2,167.07,172.71,166.55,755909
EXPENSIFY INC.,3.34,2.14,3.23,3.38,3.17,754951
PASSAGE BIO INC.,0.751,20.93,0.633,0.7899,0.6301,753991
REYNOLDS CONSUMER PRODUCTS,27.75,10.5,27.89,27.99,27.58,751384
AURINIA PHARMACEUTICALS INC,8.71,0.0,8.7,8.78,8.65,750630
HILLMAN SOLUTIONS,11.18,13.12,11.44,11.45,11.17,750573
VERTEX INC.,55.15,0.49,54.69,55.52,54.36,747701
ERASCA INC.,2.78,0.72,2.74,2.82,2.68,746766
GRYPHON DIGITAL MINING INC,0.6381,17.68,0.6501,0.6763,0.61,746600
LARIMAR THERAPEUTICS INC.,6.18,12.37,6.53,6.53,6.13,746386
RANI THERAPEUTICS HLD.,1.95,16.25,2.07,2.1,1.94,746278
MEREO BIOPHARMA GROUP PLC ADS,3.4,0.59,3.38,3.46,3.32,745718
REPAY HOLDINGS CORP.,8.08,11.46,8.1,8.27,8.05,742316
BROOKLINE BANCORP INC.,12.76,0.24,12.7,12.94,12.66,741239
TEXAS ROADHOUSE INC.,204.71,1.28,202.51,204.94,201.22,739255
COMPOSECURE INC.,16.19,3.12,15.63,16.24,15.53,739228
NKGEN BIOTECH INC.,0.4169,14.72,0.395,0.4199,0.39,737784
DIODES INC.,66.15,10.23,66.79,67.0,65.07,734674
BACKBLAZE INC.,6.31,14.39,6.5,6.69,6.16,734125
MERUS N.V.,45.87,1.06,45.33,47.18,45.22,732340
REGENCY CENTERS,75.0,1.32,74.13,75.1,73.84,729779
SAGE THERAPEUTICS INC.,5.76,9.09,5.32,5.78,5.16,725044
PEGASYSTEMS INC.,96.45,1.17,94.91,96.68,94.62,724060
LAUREATE EDUCATION INC.,19.13,12.94,19.59,19.61,19.08,722218
IMMUNOVANT INC.,27.16,1.0,26.88,27.39,26.51,718327
CRONOS GROUP INC.,2.09,11.88,2.12,2.14,2.07,718111
BIOMEA FUSION INC.,6.89,10.58,6.92,7.5,6.89,717315
BEAM THERAPEUTICS INC.,25.84,13.04,26.47,27.1,25.11,716259
AMYLYX PHARMACEUTICALS INC.,5.45,13.71,5.8,5.8,5.35,714143
ORIGIN MATERIALS INC.,1.22,11.61,1.23,1.25,1.19,713679
WM TECHNOLOGY INC.,1.28,0.0,1.25,1.3,1.24,711596
WIX.COM,222.44,10.43,221.5,224.33,219.0,711300
IMMATICS N.V.,7.8,2.77,7.68,7.93,7.47,710677
VERISIGN INC.,185.16,1.79,182.45,185.31,181.85,710459
ATOSSA THERAPEUTICS INC.,1.29,0.78,1.3,1.32,1.27,709683
ALLOT,4.54,10.66,4.77,4.77,4.47,709422
JFROG,31.33,12.19,31.83,32.0,31.15,708819
LEONARDO DRS INC.,34.87,11.64,35.27,35.67,34.8,708524
EQUINIX INC.,978.26,0.4,974.0,982.69,961.36,708108
ADAPTHEALTH CORP.,9.95,11.68,10.0,10.11,9.78,705204
PHOTRONICS INC.,25.36,10.28,25.5,25.63,25.19,699775
EASTERN BANKSHARES INC.,18.76,11.42,18.92,19.04,18.67,699333
ENCORE ENERGY CORP.,3.74,10.8,3.73,3.8,3.71,698958
GRID DYNAMICS HLD.,19.22,1.69,18.76,19.26,18.37,698633
VEECO INSTRUMENTS INC.,27.13,13.0,28.13,28.13,26.64,695125
ATYR PHARMA INC.,3.29,5.45,3.11,3.37,3.06,694853
SINTX TECHNOLOGIES INC.,4.52,128.71,6.14,6.37,4.09,691920
LIBERTY LATIN AMERICA,7.08,15.35,7.5,7.51,6.92,689257
PROTAGONIST THERAPEUTICS INC.,44.83,11.54,45.27,46.51,44.28,688798
ANAPTYSBIO INC.,25.25,4.77,23.86,25.32,22.83,686741
PROFRAC HOLDING,8.44,7.24,7.85,8.58,7.75,683016
NEW YORK MORTGAGE TRUST INC.,6.01,12.12,6.12,6.12,5.97,682575
THE REAL BROKERAGE INC.,5.39,11.82,5.46,5.54,5.26,680856
VIVOPOWER INTERNATIONAL PLC,1.12,4.67,1.05,1.21,1.04,678926
ABACUS LIFE INC.,7.82,1.96,7.75,7.93,7.66,678148
FIRST WATCH RESTAURANT GROUP,18.48,10.96,18.56,18.57,18.2,675022
ACI WORLDWIDE INC.,57.3,11.73,58.13,58.15,56.78,674679
SKYWATER TECHNOLOGY INC.,8.19,14.77,8.66,8.78,8.17,672062
NEWS CORP.,32.01,10.34,32.21,32.21,31.86,672035
ATOMERA INC.,6.15,18.21,6.65,6.71,5.93,671026
PROCEPT BIOROBOTICS,99.27,1.52,97.38,99.86,96.04,670600
AMMO INC.,1.22,15.43,1.3,1.3,1.21,669996
CYTEK BIOSCIENCES INC.,6.41,14.19,6.6,6.63,6.29,668829
NEWGENIVF GROUP LTD.,0.37,111.06,0.416,0.43,0.332,667758
WERNER ENTERPRISES INC.,40.85,1.49,39.98,40.87,39.68,666802
MONDAY.COM,293.0,11.05,296.89,302.29,292.43,666230
WEIBO CORP.,9.08,11.41,9.16,9.3,9.06,663094
CREATIVE MEDIA & COMMUNITY TRUST,0.2406,2.6,0.24,0.251,0.235,661409
FORMFACTOR INC.,39.82,13.44,41.78,41.93,39.8,660003
HUB GROUP INC.,52.44,11.43,52.93,52.93,51.67,658838
LIVEONE INC.,0.9402,3.89,0.915,0.98,0.8595,658653
VAREX IMAGING CORP.,16.51,0.73,16.36,16.65,16.16,657297
CARA THERAPEUTICS INC.,0.29,14.79,0.3046,0.3046,0.2851,654900
PRIORITY TECHNOLOGY HLD.,10.02,14.65,8.75,10.05,8.68,654878
ARS PHARMACEUTICALS INC.,14.37,4.81,13.71,14.45,13.62,653797
TWIST BIOSCIENCE,46.34,10.13,46.58,47.5,45.81,652517
THE BEAUTY HEALTH CO.,1.43,0.7,1.42,1.49,1.4,652384
JIN MEDICAL INTERNATIONAL,0.879,17.22,0.9598,0.99,0.7578,651647
SUTRO BIOPHARMA INC.,2.6,10.38,2.65,2.68,2.55,650391
KULICKE AND SOFFA INDUSTRIES,49.0,11.9,50.2,50.2,48.88,650013
MGP INGREDIENTS INC.,44.42,14.39,46.55,46.55,43.48,649836
DAY ONE BIOPHARMACEUTICALS,13.54,0.89,13.48,13.79,13.2,648547
SAG HOLDINGS LTD.,3.1,5.08,3.12,3.35,3.0,646419
ITERIS INC.,7.19,0.0,7.19,7.2,7.19,645850
SBA COMMUNICATIONS,226.59,0.27,226.03,227.71,224.76,644367
PACIFIC PREMIER BANCORP INC,28.86,10.86,28.99,29.36,28.48,644328
IMMUNIC INC.,1.14,13.39,1.2,1.21,1.13,642272
MKS INSTRUMENTS INC.,113.15,12.87,116.99,116.99,112.16,641945
WILLIS TOWERS WATSON PUBLIC,316.65,0.64,314.63,318.13,309.32,641631
GREAT LAKES DREDGE & DOCK,12.52,0.32,12.42,12.69,12.35,640894
LIFE360 INC.,46.33,6.73,44.7,47.3,44.54,639555
P3 HEALTH PARTNERS INC.,0.2362,11.15,0.2125,0.24,0.2101,639396
INTEGRA LIFESCIENCES HLD.,23.7,12.23,24.01,24.1,23.44,639357
JACK IN THE BOX INC.,46.59,12.84,47.39,47.54,45.67,638000
EYEPOINT PHARMACEUTICALS INC.,9.0,12.49,9.2,9.5,8.99,637931
MURAL ONCOLOGY PLC,3.93,1.55,4.0,4.15,3.88,637776
BIOATLA INC.,1.57,15.42,1.65,1.65,1.55,637017
WELLCHANGE HOLDINGS CO.,2.01,5.24,1.84,2.19,1.84,636343
SCWORX CORP.,2.38,120.67,2.88,2.92,2.14,634234
EXLSERVICE HOLDINGS INC.,47.02,0.53,46.84,47.2,46.71,632864
UPLAND SOFTWARE INC.,3.87,3.2,3.78,4.36,3.75,631789
NURIX THERAPEUTICS INC.,21.79,10.14,21.73,22.08,21.12,630323
ELONG POWER HOLDING,1.61,112.97,1.73,1.73,1.47,629817
LIGHT & WONDER INC.,97.94,10.52,98.08,99.34,97.62,629782
STEVEN MADDEN LTD.,44.16,12.75,45.07,45.73,44.02,628191
PERELLA WEINBERG PARTNERS,25.59,10.97,25.63,25.83,25.0,627956
APTOSE BIOSCIENCES INC.,0.178,13.37,0.185,0.1852,0.1703,627174
SPYRE THERAPEUTICS INC.,27.83,0.07,27.94,28.46,27.36,627051
CHECK POINT SOFTWARE TECHNOLOGIES,181.51,10.91,181.52,182.38,178.8,626987
T2 BIOSYSTEMS INC.,0.485,11.02,0.49,0.51,0.47,626094
DADA NEXUS LTD.,1.34,12.19,1.36,1.37,1.32,625701
FORTRESS BIOTECH INC.,1.84,9.52,1.71,1.84,1.7,624778
REGENXBIO INC.,9.55,10.31,9.5,9.77,9.4,624377
AEMETIS INC,3.93,15.07,4.17,4.17,3.86,624233
SUNOPTA INC.,7.79,0.91,7.67,7.82,7.59,623428
CAPITOL FEDERAL FINANCIAL INC.,6.8,11.16,6.83,6.91,6.79,623180
DEFINITIVE HEALTHCARE,4.68,5.17,4.43,4.7,4.36,621767
OMNIAB INC.,3.78,18.92,4.15,4.21,3.78,621679
SUN COUNTRY AIRLINES HLD.,13.93,10.85,14.14,14.34,13.71,621009
AXON ENTERPRISE INC.,632.16,2.13,622.6,633.0,621.22,619320
SPROUT SOCIAL INC,32.6,10.88,32.19,33.14,31.92,618853
CODEXIS INC.,4.56,0.22,4.55,4.62,4.47,618559
BIOLIFE SOLUTIONS INC.,27.06,1.08,26.65,27.41,26.23,618137
RENEW ENERGY GLOBAL PLC  SHARES,6.05,11.31,6.07,6.11,5.97,616949
OLEMA PHARMACEUTICALS INC.,9.72,9.09,8.88,9.97,8.48,616312
PIXELWORKS INC.,0.75,14.23,0.77,0.7796,0.7398,615577
BENTLEY SYSTEMS INC.,49.22,10.81,49.59,50.15,49.11,614289
AMDOCS LTD.,87.37,0.08,87.5,87.61,86.46,614218
EAST WEST BANCORP INC.,109.85,11.24,110.85,111.21,109.46,613819
LATHAM GROUP INC.,6.66,14.03,6.9,6.9,6.45,610582
THE BANCORP INC.,58.83,12.53,59.5,59.81,58.44,610506
ARBUTUS BIOPHARMA,3.41,10.29,3.42,3.47,3.39,608598
STRATASYS LTD.,9.53,12.36,9.66,9.82,9.5,608324
COSMOS HEALTH INC.,0.785,4.69,0.77,0.81,0.75,608048
SENSEI BIOTHERAPEUTICS INC.,0.5343,110.95,0.62,0.62,0.523,605297
NEWAMSTERDAM PHARMA CO.,20.84,11.0,21.25,21.5,19.92,604961
LIONSGATE STUDIOS,7.06,10.56,7.09,7.18,6.95,603675
NOVOCURE LTD.,17.88,14.79,18.69,18.74,17.46,603570
INSPIREMD INC.,3.02,2.72,2.9,3.15,2.76,603052
DOCGO INC.,4.3,10.69,4.37,4.45,4.25,602167
ASSERTIO HOLDINGS INC.,0.979,13.07,1.0,1.02,0.95,596744
FORWARD AIR CORP.,36.03,1.66,35.16,36.16,34.5,595658
SCPHARMACEUTICALS INC.,3.6,5.57,3.38,3.64,3.3,595427
HANCOCK WHITNEY,60.34,11.15,60.46,60.81,60.1,594006
JACK HENRY & ASSOCIATES INC.,173.1,0.41,172.67,173.38,171.73,592363
AMC NETWORKS INC.,9.16,11.51,9.26,9.39,8.93,592252
ENVIROTECH VEHICLES INC.,1.35,13.57,1.43,1.45,1.35,592058
STRUCTURE THERAPEUTICS,33.74,10.79,34.37,35.31,33.66,591597
HARMONIC INC.,12.48,0.73,12.34,12.5,12.33,588987
IDEXX LABORATORIES INC.,417.32,12.63,429.0,429.06,414.46,587773
TRUGOLF HOLDINGS INC.,0.551,21.74,0.465,0.589,0.4405,587164
AXCELIS TECHNOLOGIES INC.,74.45,13.9,77.66,77.66,73.58,587110
POTLATCHDELTIC CORP.,44.52,10.45,44.54,44.8,44.23,584603
CRACKER BARREL OLD COUNTRY STORE,51.95,0.0,51.77,52.35,50.44,582976
RAPID7 INC.,43.3,1.31,42.69,43.37,42.46,582954
NCINO INC.,42.25,0.12,42.14,42.73,41.81,580250
NATIONAL CINEMEDIA INC.,6.8,11.59,6.9,6.98,6.79,578974
SELECTIVE INSURANCE GROUP INC.,99.8,1.17,98.24,100.0,96.71,577678
PERSONALIS INC.,3.73,3.61,3.61,3.78,3.57,574400
SILICON MOTION TECHNOLOGY,53.41,14.3,56.2,56.35,52.82,573904
GOGO INC.,8.17,12.85,8.41,8.41,8.14,573358
MEIWU TECHNOLOGY CO.,0.96,13.61,0.831,0.985,0.81,572660
MUSTANG BIO INC.,0.2,2.51,0.1935,0.2093,0.1811,572535
MARIS-TECH,2.22,23.33,1.95,2.23,1.92,572136
JX LUXVENTURE LTD.,1.3,6.56,1.26,1.32,1.16,571680
BTC DIGITAL,15.34,0.13,13.74,15.97,13.69,569267
PIEDMONT LITHIUM INC.,12.29,16.82,13.08,13.09,12.14,568692
NEOGENOMICS INC.,17.18,1.48,16.81,17.19,16.58,566077
CEMTREX INC.,3.2,2809.09,3.82,3.86,3.0,566051
PATRIA INVESTMENTS,12.35,11.83,12.46,12.51,12.23,565523
LPL FINANCIAL HLD.,327.35,0.69,325.01,328.1,324.6,564529
UPBOUND GROUP INC.,34.4,11.74,34.56,34.74,34.05,564380
CRYOPORT INC.,7.18,7.97,6.6,7.29,6.53,562485
JAZZ PHARMACEUTICALS PLC,122.79,11.25,123.6,123.6,120.31,561718
CRESUD S.A.C.I.F. Y A. ADS,12.34,0.73,12.44,13.14,12.12,561335
GOGORO INC.,0.5297,3.46,0.5009,0.56,0.5002,561083
TOWER SEMICONDUCTOR,48.15,0.65,48.08,48.61,47.53,560429
CENTESSA PHARMACEUTICALS PLC ADS,17.3,1.17,17.0,17.45,16.43,559268
AXSOME THERAPEUTICS INC.,97.03,10.48,97.5,99.0,96.57,557811
TELOS CORP.,3.24,0.62,3.19,3.25,3.1,556335
PROTHENA CORP.,15.58,3.32,15.01,15.89,14.45,555100
PROKIDNEY,1.88,2.73,1.83,1.95,1.79,554125
ALX ONCOLOGY HLD.,1.49,1.36,1.48,1.55,1.47,550419
LIBERTY MEDIA CORP.,72.28,10.01,72.25,72.49,71.28,550300
INTERFACE INC.,26.82,0.83,26.52,27.06,26.3,550165
TARSUS PHARMACEUTICALS INC.,49.66,2.77,48.35,51.25,48.06,549397
GP-ACT III ACQUISITION,10.12,0.1,10.1,10.15,10.1,547450
STAGWELL INC.,8.09,2.15,7.9,8.16,7.69,546506
ASPEN TECHNOLOGY INC.,250.4,10.22,250.94,254.04,249.82,545605
AMERICAN WOODMARK,91.62,19.16,94.49,97.1,90.79,545068
SYNAPTICS INC.,80.11,11.89,81.81,82.19,79.6,544781
CARDIFF ONCOLOGY INC.,2.46,0.41,2.48,2.53,2.38,543669
GORILLA TECHNOLOGY GROUP INC.,4.94,12.95,5.08,5.17,4.76,542638
COMPASS PATHWAYS PLC ADS,4.52,11.09,4.64,4.68,4.47,541661
THE MIDDLEBY CORP.,142.18,13.26,146.04,146.04,141.9,541356
TENABLE HOLDINGS INC.,43.01,0.63,42.59,43.06,42.17,541205
KRONOS BIO INC.,0.865,12.59,0.8821,0.909,0.842,540419
EXP WORLD HOLDINGS INC.,13.87,13.61,14.14,14.29,13.83,539787
MILLERKNOLL INC.,25.25,11.1,25.45,25.53,25.01,539519
EVOLUS INC.,12.83,1.26,12.71,12.89,12.48,539484
CAREMAX INC.,0.5713,117.44,0.6656,0.6782,0.5303,537396
NEUMORA THERAPEUTICS INC.,9.77,1.03,9.65,9.92,9.58,537252
ZENTALIS PHARMACEUTICALS INC.,3.48,10.57,3.47,3.55,3.38,535657
AIRSCULPT TECHNOLOGIES INC.,6.56,19.39,7.2,7.2,6.22,534695
ODDITY TECH,46.81,12.58,47.0,47.6,45.28,533806
EVERQUOTE INC.,19.67,1.76,19.03,19.8,18.99,532452
TRINITY CAPITAL INC.,14.39,0.98,14.24,14.43,14.24,532157
VERISK ANALYTICS INC.,294.75,1.12,292.57,296.1,291.52,531548
TMT ACQUISITION CORP,2.2,0.0,5.22,5.5,2.11,530138
BIODESIX INC.,1.43,7.52,1.36,1.47,1.34,529986
VICTORY CAPITAL HLD.,72.24,1.65,70.46,72.33,70.34,529830
HEALTHEQUITY INC.,103.57,10.18,103.89,103.89,101.93,529761
MIMEDX GROUP INC,9.23,1.54,9.1,9.24,8.99,529667
VANDA PHARMACEUTICALS INC.,4.98,11.39,5.03,5.04,4.88,529323
INFINERA CORP.,6.61,10.15,6.62,6.64,6.6,528449
GUARDFORCE AI CO.,1.2,15.51,1.27,1.27,1.15,525836
GROWGENERATION CORP.,1.93,12.03,1.95,1.98,1.91,524824
WAYSTAR HOLDING,30.87,10.29,30.98,31.22,30.73,523043
INSULET CORP.,266.42,10.06,265.91,269.14,263.64,522511
HUDSON TECHNOLOGIES INC.,5.87,12.65,6.02,6.05,5.84,520878
LINKAGE GLOBAL INC,0.216,14.34,0.211,0.2199,0.2007,520541
AVNET INC.,54.84,10.65,55.46,55.67,54.33,520255
MR. COOPER GROUP INC.,98.29,12.35,100.29,100.61,97.76,519178
BEACON ROOFING SUPPLY INC.,112.52,11.1,112.99,112.99,111.13,518304
BLUEPRINT MEDICINES,94.63,0.81,93.86,95.3,91.78,516485
PRIVIA HEALTH GROUP INC.,21.5,14.23,22.27,22.5,21.49,516379
D-MARKET ELECTRONIC SERVICES & TRADING,2.94,2.44,2.89,2.95,2.86,515400
SAFETY SHOT INC.,0.7933,16.68,0.8501,0.865,0.783,514341
VERITONE INC.,2.73,10.73,2.85,2.91,2.7,513739
SNOW LAKE RESOURCES,0.176,17.95,0.1912,0.202,0.173,512977
SELLAS LIFE SCIENCES GROUP,1.2,2.56,1.18,1.2,1.16,512339
CRICUT INC.,5.17,11.34,5.22,5.38,5.14,512336
OPTIMIZERX CORP.,4.99,7.31,4.64,5.09,4.5,510611
ANSYS INC.,349.85,10.65,352.65,352.7,347.86,510587
COMPASS THERAPEUTICS INC.,1.51,0.67,1.55,1.58,1.48,508925
CUE BIOPHARMA INC.,1.09,2.83,1.09,1.13,1.03,508639
ASCENDIS PHARMA A/S ADS,134.6,2.87,131.42,134.71,128.63,508125
MAKEMYTRIP LTD.,114.25,3.96,111.39,114.69,110.38,506037
CAPTIVISION INC.,1.11,27.59,0.86,1.19,0.86,505319
POWER INTEGRATIONS INC.,65.66,13.51,68.15,68.86,65.53,505183
CAL-MAINE FOODS INC.,96.62,0.13,96.47,97.56,95.64,504840
SCIENCE APPLICATIONS INTERNATIONAL,124.01,1.46,124.45,124.88,122.65,504139
CIRRUS LOGIC INC.,107.41,11.3,109.61,110.0,107.0,502184
XENCOR INC.,25.3,12.92,25.68,25.95,25.05,502161
VIRTU FINANCIAL INC.,36.71,10.24,36.55,36.75,36.25,499550
EXICURE INC.,27.69,3.55,26.87,28.42,20.11,498968
NMI HOLDINGS INC,40.0,0.0,39.84,40.03,39.42,498323
CROWN LNG HOLDINGS,0.3237,18.97,0.36,0.36,0.3171,498150
VERITEX HOLDINGS INC.,31.05,10.67,30.94,31.32,30.75,497036
HEALTHCARE SERVICES GROUP INC.,12.13,1.68,11.86,12.14,11.78,496651
SKY QUARRY INC.,0.8303,128.42,1.15,1.19,0.83,496217
ICAHN ENTERPRISES L.P. DEPOSITARY UNITS,11.12,10.54,11.15,11.19,11.02,495277
BIOXCEL THERAPEUTICS INC.,0.4638,11.32,0.49,0.494,0.455,495054
COMMERCE BANCSHARES INC.,73.96,10.54,74.34,74.7,73.85,494001
REKOR SYSTEMS INC.,1.01,6.32,0.97,1.01,0.96,492867
THE9 LTD.,13.29,19.73,11.13,13.54,11.13,492457
CANDEL THERAPEUTICS INC.,4.62,14.55,5.07,5.07,4.56,492369
ACCURAY INC.,1.96,13.45,2.02,2.04,1.95,492210
FRONTDOOR INC.,58.63,11.53,59.04,59.07,57.85,492172
THE ODP CORP.,26.17,12.86,26.77,26.77,25.96,491310
KINGSTONE COMPANIES INC,15.96,6.26,15.29,16.32,15.05,490886
WESTROCK COFFEE CO.,7.88,13.08,8.07,8.23,7.78,490021
ALTAIR ENGINEERING INC.,105.4,10.44,105.87,106.18,105.35,488638
NATURE S MIRACLE HOLDING INC.,2.42,13.2,2.36,2.6,2.25,487826
PLAYTIKA HOLDING,8.53,11.04,8.62,8.7,8.47,487823
SMITH & WESSON BRANDS INC.,13.52,11.82,13.67,13.69,13.46,487737
WINTRUST FINANCIAL,137.89,10.29,137.65,138.97,136.07,487602
TRILLER GROUP INC.,3.69,110.87,3.97,3.99,3.61,487337
AIR TRANSPORT SERVICES GROUP,21.97,0.09,21.96,22.0,21.95,486918
GRIFOLS S.A. ADS,8.72,1.4,8.67,8.76,8.47,486866
MDXHEALTH SA,1.94,3.74,1.88,1.96,1.79,486739
LIVANOVA PLC,50.69,12.05,51.62,51.65,50.49,486088
E.W. SCRIPPS CO.,1.92,17.25,2.11,2.11,1.89,485038
AGIOS PHARMACEUTICALS INC.,59.1,2.76,57.39,59.61,56.67,484587
MACROGENICS INC.,3.4,3.34,3.28,3.44,3.25,484055
XENON PHARMACEUTICALS INC.,42.45,1.85,41.7,42.74,41.69,483346
ITRON INC.,118.0,10.59,117.85,118.9,116.28,477342
SIYATA MOBILE INC.,0.8753,15.88,0.92,0.95,0.87,477274
CENTRAL GARDEN & PET CO.,33.76,1.63,32.15,35.08,32.15,476938
HALLADOR ENERGY CO.,12.26,13.77,12.54,12.95,12.11,476702
CAMTEK,71.12,10.77,72.78,74.35,69.83,476519
INOTIV INC.,3.19,114.93,3.71,3.75,3.15,476065
IVEDA SOLUTIONS INC.,2.08,16.2,1.86,2.23,1.82,475696
PACIRA BIOSCIENCES INC.,16.78,13.67,17.23,17.34,16.29,475098
INFLARX N.V.,2.2,3.77,2.14,2.38,2.1,474753
PROFIRE ENERGY INC.,2.51,10.4,2.51,2.52,2.51,472892
SILENCE THERAPEUTICS PLC ADS,7.46,3.47,7.2,7.72,7.2,472502
CORSAIR GAMING INC.,7.31,14.32,7.43,7.48,7.24,472066
OAKTREE SPECIALTY LENDING,16.0,10.12,16.02,16.04,15.87,470705
PREMIER INC.,22.75,11.77,23.13,23.14,22.64,470266
CINCINNATI FINANCIAL,159.61,0.12,159.42,159.81,158.59,468786
ENERGY RECOVERY INC.,15.33,11.73,15.54,15.55,15.17,467213
OPEN TEXT CORP.,30.02,10.86,30.05,30.33,29.92,465687
AGRIFY CORP.,62.71,36.89,47.99,69.49,43.02,465349
STAAR SURGICAL CO.,28.06,11.72,28.4,28.65,27.43,465073
POWELL INDUSTRIES INC.,271.63,13.2,278.99,287.92,266.93,465015
RAIL VISION,0.4705,13.57,0.4879,0.5033,0.463,463807
ANTELOPE ENTERPRISE HLD.,0.2346,19.98,0.2606,0.2668,0.221,462146
WEATHERFORD INTERNATIONAL PLC,81.99,12.83,84.45,84.91,81.46,461780
THE PENNANT GROUP INC.,31.71,3.76,30.43,31.75,30.25,460676
ARCELLX INC.,90.96,1.73,89.4,92.48,89.3,459158
IAC INC.,47.76,11.65,48.13,48.35,47.65,458520
JANUX THERAPEUTICS INC.,48.0,11.68,48.82,49.74,47.7,457414
COLLEGIUM PHARMACEUTICAL INC.,31.19,1.3,31.17,31.66,30.8,457107
NERDWALLET INC.,13.87,12.6,14.33,14.33,13.72,456982
PINNACLE FINANCIAL PARTNERS,128.25,11.25,129.19,130.22,128.09,456049
MAMA S CREATIONS INC.,9.32,0.22,9.3,9.48,9.12,455617
EZCORP INC.  NON-VOTING,12.54,10.63,12.56,12.56,12.34,455186
KARYOPHARM THERAPEUTICS INC.,0.8758,4.26,0.85,0.876,0.8366,454904
FUSION FUEL GREEN PLC,0.313,1.29,0.3102,0.32,0.3025,451379
HELLO GROUP INC.  ADS,6.32,12.32,6.45,6.52,6.32,450972
SIMMONS FIRST NATIONAL,24.71,10.6,24.82,24.98,24.67,450621
TOWNE BANK,37.0,10.24,36.96,37.14,36.4,450518
ALTO INGREDIENTS INC.,1.41,0.71,1.39,1.41,1.39,449894
VERA THERAPEUTICS INC.,47.46,0.4,46.47,47.84,45.99,449890
MULTIMETAVERSE HOLDINGS,0.4742,19.99,0.3833,0.4769,0.3833,449540
ACURX PHARMACEUTICALS INC.,1.14,113.64,1.33,1.33,1.01,448799
APOGEE THERAPEUTICS INC.,43.96,0.25,44.11,44.43,43.13,448649
SURGEPAYS INC.,2.11,4.98,2.0,2.2,2.0,447291
